painting_id,img_src,painting_title,season,episode,num_colors,youtube_src
282,https://www.twoinchbrush.com/images/painting282.png,A_Walk_in_the_Woods,1,1,8,https://www.youtube.com/embed/oh5p5f5_-7A
283,https://www.twoinchbrush.com/images/painting283.png,Mt._McKinley,1,2,8,https://www.youtube.com/embed/RInDWhYceLU
284,https://www.twoinchbrush.com/images/painting284.png,Ebony_Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco
285,https://www.twoinchbrush.com/images/painting285.png,Winter_Mist,1,4,3,https://www.youtube.com/embed/0pwoixRikn4
286,https://www.twoinchbrush.com/images/painting286.png,Quiet_Stream,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk
287,https://www.twoinchbrush.com/images/painting287.png,Winter_Moon,1,6,4,https://www.youtube.com/embed/loAzRUzx1wI
288,https://www.twoinchbrush.com/images/painting288.png,Autumn_Mountain,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0
289,https://www.twoinchbrush.com/images/painting289.png,Peaceful_Valley,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg
290,https://www.twoinchbrush.com/images/painting290.png,Seascape,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ
291,https://www.twoinchbrush.com/images/painting291.png,Mountain_Lake,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I
292,https://www.twoinchbrush.com/images/painting292.png,Winter_Glow,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0
293,https://www.twoinchbrush.com/images/painting293.png,Snow_Fall,1,12,4,https://www.youtube.com/embed/4E35-8x_y04
294,https://www.twoinchbrush.com/images/painting294.png,Final_Reflections,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA
269,https://www.twoinchbrush.com/images/painting269.png,Meadow_Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI
270,https://www.twoinchbrush.com/images/painting270.png,Winter_Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco
271,https://www.twoinchbrush.com/images/painting271.png,Ebony_Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8
272,https://www.twoinchbrush.com/images/painting272.png,Shades_of_Grey,2,4,3,https://www.youtube.com/embed/I-ousb8-SD0
273,https://www.twoinchbrush.com/images/painting273.png,Autumn_Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I
