episode,title,painting_id,img_src,num_colors,youtube_src,colors,color_hex,black_gesso,bright_red,burnt_umber,cadmium_yellow,dark_sienna,indian_red,indian_yellow,liquid_black,liquid_clear,midnight_black,phthalo_blue,phthalo_green,prussian_blue,sap_green,titanium_white,van_dyke_brown,yellow_ochre,alizarin_crimson
S01E01,A Walk In The Woods,282,https://www.twoinchbrush.com/images/painting282.png,8,https://www.youtube.com/embed/oh5p5f5_-7A,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown']","['#4E1500','#DB0000','#FFEC00','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15']",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,
S01E02,Mount Mckinley,283,https://www.twoinchbrush.com/images/painting283.png,8,https://www.youtube.com/embed/RInDWhYceLU,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown']","['#4E1500','#DB0000','#FFEC00','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15']",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,
S01E03,Ebony Sunset,284,https://www.twoinchbrush.com/images/painting284.png,9,https://www.youtube.com/embed/UOziR7PoVco,"['Alizarin_Crimson','Black_Gesso','Bright_Red','Cadmium_Yellow','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown']","['#4E1500','#000000','#DB0000','#FFEC00','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15']",1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,
S01E04,Winter Mist,285,https://www.twoinchbrush.com/images/painting285.png,3,https://www.youtube.com/embed/0pwoixRikn4,"['Prussian_Blue','Titanium_White','Van_Dyke_Brown']","['#021E44','#FFFFFF','#221B15']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
S01E05,Quiet Stream,286,https://www.twoinchbrush.com/images/painting286.png,8,https://www.youtube.com/embed/DFSIQNjKRfk,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown']","['#4E1500','#DB0000','#FFEC00','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15']",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,
S01E06,Winter Moon,287,https://www.twoinchbrush.com/images/painting287.png,4,https://www.youtube.com/embed/loAzRUzx1wI,"['Black_Gesso','Prussian_Blue','Titanium_White','Van_Dyke_Brown']","['#000000','#021E44','#FFFFFF','#221B15']",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,
S01E07,Autumn Mountain,288,https://www.twoinchbrush.com/images/painting288.png,8,https://www.youtube.com/embed/sDdpc8uisD0,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown']","['#4E1500','#DB0000','#FFEC00','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15']",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,
S01E08,Peaceful Valley,289,https://www.twoinchbrush.com/images/painting289.png,8,https://www.youtube.com/embed/kQlFwTOkYzg,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown']","['#4E1500','#DB0000','#FFEC00','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15']",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,
S01E09,Seascape,290,https://www.twoinchbrush.com/images/painting290.png,8,https://www.youtube.com/embed/QxcS7p1VHyQ,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown']","['#4E1500','#DB0000','#FFEC00','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15']",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,
S01E10,Mountain Lake,291,https://www.twoinchbrush.com/images/painting291.png,8,https://www.youtube.com/embed/wDnLlywAL5I,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown']","['#4E1500','#DB0000','#FFEC00','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15']",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,
S01E11,Winter Glow,292,https://www.twoinchbrush.com/images/painting292.png,8,https://www.youtube.com/embed/Q03YvknOVe0,"['Alizarin_Crimson','Bright_Red','Cadmium_Yellow','Phthalo_Green\r\n','Prussian_Blue','Sap_Green','Titanium_White','Van_Dyke_Brown']","['#4E1500','#DB0000','#FFEC00','#102E3C','#021E44','#0A3410','#FFFFFF','#221B15']",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,
S01E12,Snow Fall,293,https://www.twoinchbrush.com/images/painting293.png,4,https://www.youtube.com/embed/4E35-8x_y04,"['Alizarin_Crimson','Prussian_Blue','Titanium_White','Van_Dyke_Brown']","['#4E1500','#021E44','#FFFFFF','#221B15']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,
