episode,title,date
S01E01,A Walk In The Woods,1983-01-11
S01E02,Mount Mckinley,1983-01-11
S01E03,Ebony Sunset,1983-01-18
S01E04,Winter Mist,1983-01-25
S01E05,Quiet Stream,1983-02-01
S01E06,Winter Moon,1983-02-08
S01E07,Autumn Mountains,1983-02-15
S01E08,Peaceful Valley,1983-02-22
S01E09,Seascape,1983-03-01
S01E10,Mountain Lake,1983-03-08
S01E11,Winter Glow,1983-03-15
S01E12,Snowfall,1983-03-22
S01E13,Final Reflections,1983-03-29
S02E01,Meadow Lake,1983-08-31colors_used.csvcolors_used.csvcolors_used
S02E02,Winter Sun,1983-09-07
S02E03,Ebony Sea,1983-09-14
S02E04,Shades of Gray,1983-09-21
S02E05,Autumn Splendor,1983-09-28
S02E06,Black River,1983-10-05
S02E07,Brown Mountain,1983-10-12
S02E08,Reflections,1983-10-19
S02E09,Black and White Seascape,1983-10-26
S02E10,Lazy River,1983-11-02
S02E11,Black Waterfall,1983-11-09
S02E12,Mountain Waterfall,1983-11-16
S02E13,Final Grace,1983-11-23
S03E01,Mountain Retreat,1984-01-04
S03E02,Blue Moon,1984-01-11
S03E03,Bubbling Stream,1984-01-18
S03E04,Winter Night,1984-01-25
S03E05,Distant Hills,1984-02-01
S03E06,Covered Bridge,1984-02-08
S03E07,Quiet Inlet,1984-02-15
S03E08,Night Light,1984-02-22
S03E09,The Old Mill,1984-03-01
S03E10,Campfire,1984-03-08
S03E11,Rustic Barn,1984-03-15
S03E12,Hidden Lake,1984-03-22
S03E13,Peaceful Waters,1984-03-29
S04E01,Purple Splendor,1984-09-05
S04E02,Tranquil Valley,1984-09-12
S04E03,Majestic Mountains,1984-09-19
S04E04,Winter Sawscape,1984-09-26
S04E05,Evening Seascape,1984-10-03
S04E06,Warm Summer Day,1984-10-10
S04E07,Cabin In The Woods,1984-10-17
S04E08,Wetlands,1984-10-24
S04E09,Cool Waters,1984-10-31
S04E10,Quiet Woods,1984-11-07
S04E11,Northwest Majesty,1984-11-14
S04E12,Autumn Days,1984-11-21
S04E13,Mountain Challenge,1984-11-28
S05E01,Mountain Waterfall 2,1985-01-02
S05E02,Twilight Meadow,1985-01-09
S05E03,Mountain Blossoms,1985-01-16
S05E04,Winter Stillness,1985-01-23
S05E05,Quiet Pond,1985-01-30
S05E06,Ocean Sunrise,1985-02-06
S05E07,Bubbling Brook,1985-02-13
S05E08,Arizona Splendor,1985-02-20
S05E09,Anatomy of A Wave,1985-02-27
S05E10,The Windmill,1985-03-06
S05E11,Autumn Glory,1985-03-13
S05E12,Indian Girl,1985-03-20
S05E13,Meadow Stream,1985-03-27
S06E01,Blue River,1985-05-01
S06E02,Nature's Edge,1985-05-08
S06E03,Morning Mist,1985-05-15
S06E04,Whispering Stream,1985-05-22
S06E05,Secluded Forest,1985-05-29
S06E06,Snow Trail,1985-06-05
S06E07,Arctic Beauty,1985-06-12
S06E08,Horizons West,1985-06-19
S06E09,High Chateau,1985-06-26
S06E10,Country Life,1985-07-02
S06E11,Western Expanse,1985-07-09
S06E12,Marshlands,1985-07-16
S06E13,Blaze of Color,1985-07-23
S07E01,Winter Cabin,1985-10-02
S07E02,Secluded Lake,1985-10-09
S07E03,Evergreen At Sunset,1985-10-16
S07E04,Mountain Cabin,1985-10-23
S07E05,Portrait of Sally,1985-10-30
S07E06,Misty Waterfall,1985-11-06
S07E07,Barn At Sunset,1985-11-13
S07E08,Mountain Splendor,1985-11-20
S07E09,Lake By Mountain,1985-11-27
S07E10,Mountain Glory,1985-12-06
S07E11,Grey Winter,1985-12-13
S07E12,Dock Scene,1985-12-20
S07E13,Dark Waterfall,1985-12-27
S08E01,Misty Rolling Hills,1986-01-02
S08E02,Lakeside Cabin,1986-01-09
S08E03,Warm Winter Day,1986-01-16
S08E04,Waterside Way,1986-01-23
S08E05,Hunter's Haven,1986-01-30
S08E06,Bubbling Mountain Brook,1986-02-06
S08E07,Winter Hideaway,1986-02-13
S08E08,Foot of The Mountain,1986-02-20
S08E09,Majestic Pine,1986-02-27
S08E10,Cactus At Sunset,1986-03-06
S08E11,Mountain Range,1986-03-13
S08E12,Lonely Retreat,1986-03-20
S08E13,Northern Lights,1986-03-27
S09E01,Winter Evergreens,1986-04-30
S09E02,Surf's Up,1986-05-07
S09E03,Red Sunset,1986-05-14
S09E04,Meadow Road,1986-05-21
S09E05,Winter Oval,1986-05-28
S09E06,Secluded Beach,1986-06-04
S09E07,Forest Hills,1986-06-11
S09E08,Little House By The Road,1986-06-18
S09E09,Mountain Pass,1986-06-25
S09E10,Country Charm,1986-07-02
S09E11,Nature's Paradise,1986-07-09
S09E12,Mountain By The Sea,1986-07-16
S09E13,Mountain Hideaway,1986-07-23
S10E01,Towering Peaks,1986-09-03
S10E02,Cabin At Sunset,1986-09-10
S10E03,Twin Falls,1986-09-17
S10E04,Secluded Bridge,1986-09-24
S10E05,Ocean Breeze,1986-10-01
S10E06,Autumn Woods,1986-10-08
S10E07,Winter Solitude,1986-10-15
S10E08,Golden Sunset,1986-10-22
S10E09,Mountain Oval,1986-10-29
S10E10,Ocean Sunset,1986-11-05
S10E11,Triple View,1986-11-12
S10E12,Winter Frost,1986-11-19
S10E13,Lakeside Cabin 2,1986-11-26
S11E01,Mountain Stream,1986-12-31
S11E02,Country Cabin,1987-01-07
S11E03,Daisy Delight,1987-01-14
S11E04,Hidden Stream,1987-01-21
S11E05,Towering Glacier,1987-01-28
S11E06,Oval Barn,1987-02-04
S11E07,Lakeside Path,1987-02-11
S11E08,Sunset Oval,1987-02-18
S11E09,Winter Barn,1987-02-25
S11E10,Sunset Over The Waves,1987-03-04
S11E11,Golden Glow,1987-03-11
S11E12,Roadside Barn,1987-03-18
S11E13,Happy Accident,1987-03-25
S12E01,Golden Knoll,1987-04-29
S12E02,Mountain Reflections,1987-05-06
S12E03,Secluded Mountain,1987-05-13
S12E04,Bright Autumn Trees,1987-05-20
S12E05,Black Seascape,1987-05-27
S12E06,Steep Mountains,1987-06-03
S12E07,Quiet Mountain River,1987-06-10
S12E08,Evening Waterfall,1987-06-17
S12E09,Tropical Seascape,1987-06-24
S12E10,Mountain At Sunset,1987-07-01
S12E11,Soft Mountain Glow,1987-07-08
S12E12,Mountain In An Oval,1987-07-15
S12E13,Winter Mountain,1987-07-22
S13E01,Rolling Hills,1987-09-02
S13E02,Frozen Solitude,1987-09-09
S13E03,Meadow Brook,1987-09-16
S13E04,Evening Sunset,1987-09-23
S13E05,Mountain View,1987-09-30
S13E06,Hidden Creek,1987-10-07
S13E07,Peaceful Haven,1987-10-14
S13E08,Mountain Exhibition,1987-10-21
S13E09,Emerald Waters,1987-10-28
S13E10,Mountain Summit,1987-11-04
S13E11,Cabin Hideaway,1987-11-11
S13E12,Oval Essence,1987-11-18
S13E13,Lost Lake,1987-11-25
S14E01,Distant Mountains,1987-12-30
S14E02,Meadow Brook Surprise,1988-01-06
S14E03,Mountain Moonlight Oval,1988-01-13
S14E04,Snowy Solitude,1988-01-20
S14E05,Mountain River,1988-01-27
S14E06,Graceful Mountains,1988-02-03
S14E07,Windy Waves,1988-02-10
S14E08,On A Clear Day,1988-02-17
S14E09,Riverside Escape Oval,1988-02-24
S14E10,Surprising Falls,1988-03-02
S14E11,Shadow Pond,1988-03-09
S14E12,Misty Forest,1988-03-16
S14E13,Natural Wonder,1988-03-23
S15E01,Splendor of Winter,1988-04-27
S15E02,Colors of Nature,1988-05-04
S15E03,Grandpa's Barn,1988-05-11
S15E04,Peaceful Reflections,1988-05-18
S15E05,Hidden Winter Moon Oval,1988-05-25
S15E06,Waves of Wonder,1988-06-01
S15E07,Cabin By The Pond,1988-06-08
S15E08,Fall Stream,1988-06-15
S15E09,Christmas Eve Snow,1988-06-22
S15E10,Forest Dawn Oval,1988-06-29
S15E11,Pathway To Autumn,1988-07-06
S15E12,Deep Forest Lake,1988-07-13
S15E13,Peaks of Majesty,1988-07-20
S16E01,Two Seasons,1988-08-17
S16E02,Nestled Cabin,1988-08-24
S16E03,Wintertime Discovery,1988-08-31
S16E04,Mountain Mirage,1988-09-07
S16E05,Double Oval Fantasy,1988-09-14
S16E06,Contemplative Lady,1988-09-21
S16E07,Deep Woods,1988-09-28
S16E08,High Tide,1988-10-05
S16E09,Barn In Snow Oval,1988-10-12
S16E10,That Time of Year,1988-10-19
S16E11,Waterfall Wonder,1988-10-26
S16E12,Mighty Mountain Lake,1988-11-02
S16E13,Wooded Stream Oval,1988-11-09
S17E01,Golden Mist Oval,1989-01-04
S17E02,Old Place Home,1989-01-11
S17E03,Soothing Vista,1989-01-18
S17E04,Stormy Seas,1989-01-25
S17E05,Country Time,1989-02-01
S17E06,A Mild Winter's Day,1989-02-08
S17E07,Spectacular Waterfall,1989-02-15
S17E08,View From The Park,1989-02-22
S17E09,Lake View,1989-03-01
S17E10,Old Country Mill,1989-03-08
S17E11,Morning Walk,1989-03-15
S17E12,Nature's Splendor,1989-03-22
S17E13,Mountain Beauty,1989-03-29
S18E01,Half Oval Vignette,1989-07-05
S18E02,Absolutely Autumn,1989-07-12
S18E03,Mountain Seclusion,1989-07-19
S18E04,Crimson Oval,1989-07-26
S18E05,Autumn Exhibition,1989-08-02
S18E06,Majestic Peaks,1989-08-09
S18E07,Golden Morning Mist,1989-08-16
S18E08,Winter Lace,1989-08-23
S18E09,Seascape Fantasy,1989-08-30
S18E10,Double Oval Stream,1989-09-06
S18E11,Enchanted Forest,1989-09-13
S18E12,Southwest Serenity,1989-09-20
S18E13,Rippling Waters,1989-09-27
S19E01,Snowfall Magic,1990-01-03
S19E02,Quiet Mountain Lake,1990-01-10
S19E03,Final Embers of Sunlight,1990-01-17
S19E04,Snowy Morn,1990-01-24
S19E05,Camper's Haven,1990-01-31
S19E06,Waterfall In The Woods,1990-02-07
S19E07,Covered Bridge Oval,1990-02-14
S19E08,Scenic Seclusion,1990-02-21
S19E09,Ebb Tide,1990-02-28
S19E10,After The Rain,1990-03-07
S19E11,Winter Elegance,1990-03-14
S19E12,Evening's Peace,1990-03-21
S19E13,Valley of Tranquility,1990-03-28
S20E01,Mystic Mountain,1990-04-04
S20E02,New Day's Dawn,1990-04-11
S20E03,Pastel Winter,1990-04-18
S20E04,Hazy Day,1990-04-25
S20E05,Divine Elegance,1990-05-02
S20E06,Cliffside,1990-05-09
